[2026-06-24 14:58:44.331] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.332] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.332] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.333] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.333] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.333] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.333] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.333] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.333] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.333] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.334] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.334] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.334] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.334] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.334] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.334] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.335] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.335] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.335] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.335] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.335] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.335] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.335] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.336] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.336] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.336] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.336] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.336] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.336] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.336] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.337] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.337] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.337] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.337] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.337] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.337] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.337] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.337] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.338] Core 1 | Hello world from p1039!
[2026-06-24 14:58:44.338] Core 1 | Hello world from p1039!
