[2026-06-24 14:58:44.006] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.006] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.006] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.006] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.006] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.007] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.007] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.007] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.007] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.007] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.007] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.008] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.008] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.008] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.008] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.008] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.009] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.009] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.009] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.009] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.009] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.009] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.009] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.010] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.010] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.010] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.010] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.010] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.010] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.010] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.011] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.011] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.011] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.011] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.011] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.011] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.011] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.012] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.012] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.012] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.012] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.012] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.012] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.012] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.013] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.013] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.013] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.013] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.013] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.013] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.013] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.014] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.014] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.014] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.014] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.014] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.014] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.015] Core 0 | Hello world from p1036!
[2026-06-24 14:58:44.015] Core 0 | Hello world from p1036!
