[2026-06-24 14:58:41.386] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.386] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.386] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.386] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.386] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.387] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.387] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.387] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.387] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.388] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.388] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.388] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.388] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.388] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.389] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.389] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.389] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.389] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.389] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.389] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.389] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.390] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.390] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.390] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.390] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.390] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.390] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.390] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.391] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.391] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.391] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.391] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.391] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.391] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.392] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.392] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.392] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.392] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.392] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.392] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.392] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.393] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.393] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.393] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.393] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.393] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.393] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.394] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.394] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.394] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.394] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.394] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.394] Core 0 | Hello world from p1012!
[2026-06-24 14:58:41.394] Core 0 | Hello world from p1012!
